obj_1,obj_2,obj_3,odd,reason_for_similarity
Sphynx,Korat,Russian Blue,Sphynx,Korat and Russian Blue have blue-gray coat
LaPerm,British Shorthair,Devon Rex,British Shorthair,LaPerm and Devon Rex have curly fur
Sphynx,Munchkin,Scottish Fold,Sphynx,Munchkin and Scottish Fold have unique body shapes
Nebelung,Sphynx,Russian Blue,Sphynx,"Nebelung and Russian Blue have long, blue coat"
Ocicat,Ragdoll,Bengal,Ragdoll,Ocicat and Bengal are spotted breeds
Pixie-bob,Bengal,Ragdoll,Ragdoll,Pixie-bob and Bengal have wild appearance
Ragamuffin,British Shorthair,Persian,British Shorthair,"Ragamuffin and Persian have long, silky fur"
Snowshoe,Persian,Siamese,Persian,Snowshoe and Siamese have point coloration
Abyssinian,Maine Coon,Somali,Maine Coon,Somali and Abyssinian have ticked coat
Sphynx,Devon Rex,British Shorthair,British Shorthair,Sphynx and Devon Rex are hypoallergenic breeds
Persian,Tonkinese,Siamese,Persian,Tonkinese and Siamese are Oriental breeds
Turkish Van,Siamese,Turkish Angora,Siamese,Turkish Van and Turkish Angora are Turkish breeds
Sphynx,British Shorthair,European Shorthair,Sphynx,European Shorthair and British Shorthair have dense coat
Maine Coon,Havana Brown,Burmese,Maine Coon,"Havana Brown and Burmese have sleek, short coat"
Japanese Bobtail,Manx,Turkish Angora,Turkish Angora,Japanese Bobtail and Manx have short tails
Khao Manee,Siamese,Persian,Persian,Khao Manee and Siamese have point coloration
Lykoi,British Shorthair,Sphynx,British Shorthair,Lykoi and Sphynx have less fur
Oriental Longhair,Siamese,Persian,Persian,"Oriental Longhair and Siamese have sleek, short coat"
Peterbald,British Shorthair,Sphynx,British Shorthair,Peterbald and Sphynx are hairless breeds
Siamese,Persian,Thai,Persian,Thai and Siamese are Oriental breeds
Bengal,Ragdoll,Toyger,Ragdoll,Toyger and Bengal have tiger-like stripes
Labrador Duck,Carolina Parakeet,Moa,Carolina Parakeet,Labrador Duck and Moa are both flightless
Guam Flycatcher,Moa,Dodo,Guam Flycatcher,Moa and Dodo are flightless birds
Huia,Labrador Duck,Guam Flycatcher,Guam Flycatcher,Huia and Labrador Duck lived in colder climates
Moa,Elephant Bird,Passenger Pigeon,Passenger Pigeon,Moa and Elephant Bird are the largest extinct birds
Labrador Duck,Great Auk,Huia,Labrador Duck,Great Auk and Huia had distinct sexual dimorphism
Labrador Duck,Huia,Great Auk,Great Auk,Huia and Labrador Duck were hunted for their feathers
Moa,Guam Flycatcher,Passenger Pigeon,Guam Flycatcher,Moa and Passenger Pigeon were overhunted by humans
Huia,Dodo,Labrador Duck,Dodo,Labrador Duck and Huia lived in colder climates
Dodo,Moa,Passenger Pigeon,Passenger Pigeon,Dodo and Moa are flightless
Carolina Parakeet,Great Auk,Huia,Huia,Carolina Parakeet and Great Auk lived in colder climates
Labrador Duck,Moa,Dodo,Labrador Duck,Moa and Dodo are flightless
Great Auk,Dodo,Labrador Duck,Dodo,Labrador Duck and Great Auk lived in colder climates
Elephant Bird,Passenger Pigeon,Huia,Passenger Pigeon,Huia and Elephant Bird were hunted for their feathers
Guam Flycatcher,Dodo,Carolina Parakeet,Guam Flycatcher,Carolina Parakeet and Dodo lived on islands
Labrador Duck,Great Auk,Moa,Great Auk,Moa and Labrador Duck are the largest extinct birds
Elephant Bird,Passenger Pigeon,Huia,Elephant Bird,Passenger Pigeon and Huia lived in North America
Labrador Duck,Great Auk,Carolina Parakeet,Great Auk,Carolina Parakeet and Labrador Duck were hunted for their feathers
Passenger Pigeon,Dodo,Huia,Passenger Pigeon,Huia and Dodo are flightless
Moa,Carolina Parakeet,Elephant Bird,Carolina Parakeet,Moa and Elephant Bird lived on islands
Guam Flycatcher,Passenger Pigeon,Labrador Duck,Guam Flycatcher,Passenger Pigeon and Labrador Duck lived in North America
Huia,Great Auk,Guam Flycatcher,Huia,Guam Flycatcher and Great Auk were hunted to extinction
Dodo,Carolina Parakeet,Labrador Duck,Dodo,Labrador Duck and Carolina Parakeet lived in North America
Passenger Pigeon,Dodo,Moa,Passenger Pigeon,Moa and Dodo are flightless
Passenger Pigeon,Moa,Dodo,Moa,Dodo and Passenger Pigeon lived in North America
Labrador Duck,Great Auk,Dodo,Great Auk,Labrador Duck and Dodo lived on islands
Guam Flycatcher,Labrador Duck,Moa,Labrador Duck,Moa and Guam Flycatcher lived in North America
Passenger Pigeon,Huia,Dodo,Huia,Passenger Pigeon and Dodo lived on islands
Labrador Duck,Passenger Pigeon,Great Auk,Great Auk,Labrador Duck and Passenger Pigeon lived in North America
Saber-toothed Cat,Woolly Mammoth,Megalodon,Megalodon,Saber-toothed Cat and Woolly Mammoth lived during the Ice Age
Homo Sapiens,Neanderthal,Denisovan,Homo Sapiens,Neanderthal and Denisovan are extinct hominids
Ammonite,Trilobite,Velociraptor,Velociraptor,Trilobite and Ammonite are extinct marine animals
Woolly Mammoth,Giant Ground Sloth,Tasmanian Tiger,Tasmanian Tiger,Both are from the Pleistocene epoch
Dodo Bird,Steller's Sea Cow,Passenger Pigeon,Steller's Sea Cow,Both are birds
Tasmanian Tiger,Woolly Mammoth,Dodo Bird,Woolly Mammoth,Both are island species
Steller's Sea Cow,Tasmanian Tiger,Woolly Mammoth,Tasmanian Tiger,Both are large herbivores
Steller's Sea Cow,Dodo Bird,Giant Ground Sloth,Dodo Bird,Both are marine mammals
Woolly Mammoth,Tasmanian Tiger,Saber-toothed Cat,Woolly Mammoth,Both are carnivores
Tasmanian Tiger,Steller's Sea Cow,Dodo Bird,Tasmanian Tiger,Both are marine species
Giant Ground Sloth,Woolly Mammoth,Saber-toothed Cat,Giant Ground Sloth,Both are from the Ice Age
Macginitiea wyomingensis,Bennettitales,Araucarioxylon arizonicum,Macginitiea wyomingensis,Bennettitales and Araucarioxylon arizonicum are gymnosperms
Sphenophyllum,Lepidodendron,Archaeocalamites,Archaeocalamites,Sphenophyllum and Lepidodendron are lycophytes
Sigillaria,Williamsonia,Nilssonia,Sigillaria,Williamsonia and Nilssonia are Bennettitales
Pachypteris,Archaeopteris,Glossopteris,Pachypteris,Archaeopteris and Glossopteris are seed ferns
Araucarioxylon arizonicum,Tempskya,Metasequoia,Tempskya,Metasequoia and Araucarioxylon arizonicum are conifers
Lepidodendron,Metasequoia,Sphenophyllum,Metasequoia,Sphenophyllum and Lepidodendron are lycophytes
Archaeocalamites,Araucarioxylon arizonicum,Sigillaria,Sigillaria,Archaeocalamites and Araucarioxylon arizonicum are gymnosperms
Pachypteris,Glossopteris,Tempskya,Tempskya,Pachypteris and Glossopteris are seed ferns
Titanoboa,Megalania,Quinkana,Titanoboa,Megalania and Quinkana are giant monitor lizards
Deinosuchus,Elasmosaurus,Mosasaurus,Deinosuchus,Mosasaurus and Elasmosaurus are marine reptiles
Tyrannosaurus,Velociraptor,Ankylosaurus,Ankylosaurus,Tyrannosaurus and Velociraptor are theropods
Ichthyosaurus,Dimetrodon,Plesiosaurus,Dimetrodon,Plesiosaurus and Ichthyosaurus are marine reptiles
Pteranodon,Archaeopteryx,Quetzalcoatlus,Archaeopteryx,Pteranodon and Quetzalcoatlus are pterosaurs
Brachiosaurus,Diplodocus,Triceratops,Triceratops,Diplodocus and Brachiosaurus are sauropodomorphs
Kentrosaurus,Allosaurus,Stegosaurus,Allosaurus,Stegosaurus and Kentrosaurus are stegosaurids
Edmontosaurus,Iguanodon,Spinosaurus,Spinosaurus,Iguanodon and Edmontosaurus are hadrosaurs
Kronosaurus,Liopleurodon,Sarcosuchus,Sarcosuchus,Liopleurodon and Kronosaurus are pliosaurs
Thylacosmilus,Saber-toothed cat,Thylacoleo,Saber-toothed cat,Thylacosmilus and Thylacoleo are marsupials
Dimorphodon,Pachycephalosaurus,Rhamphorhynchus,Pachycephalosaurus,Dimorphodon and Rhamphorhynchus are pterosaurs
Moth,Dragonfly,Butterfly,Dragonfly,Butterfly and Moth have scales on their wings
Cleopatra Eurydice,Olympias,Barsine,Cleopatra Eurydice,Olympias and Barsine were women closely related to Alexander
Grasshopper,Termite,Cockroach,Grasshopper,Termite and Cockroach are pests
Doctor Strange,Penguin,Joker,Doctor Strange,Joker and Penguin are Batman's villains.
Corn Snake,Tokay Gecko,Milk Snake,Tokay Gecko,The first two are types of non-venomous snakes
Owl,Emu,Peacock,Emu,Peacock and Owl are nocturnal
Falcon,Parrot,Pigeon,Falcon,Parrot and Pigeon are domestic birds
Nevada,Utah,Illinois,Illinois,Nevada and Utah are in the Mountain region
Clavicle,Coccyx,Sacrum,Clavicle,Sacrum and Coccyx are both bones in the spinal column
Radius,Pelvis,Ulna,Pelvis,Ulna and Radius are both bones in the arm
Boxfish,Pufferfish,Neon Tetra,Neon Tetra,Boxfish and Pufferfish are both toxic
Swordfish,Salmon,Trout,Swordfish,Trout and Salmon are popular in fly fishing.
Pacific Yew,Oleander,English Yew,Oleander,English Yew and Pacific Yew are the same plant (Taxus)
Platonism,Aristotelianism,Peripatetic School,Platonism,Aristotelianism and Peripatetic School both represent Aristotle's teachings and followers
The Lost City of Z,Angkor Wat,Machu Picchu,The Lost City of Z,Machu Picchu and Angkor Wat are both UNESCO World Heritage Sites.
Okra,Green Beans,Asparagus,Asparagus,Okra and Green Beans are both pods
Cucumber,Cabbage,Lettuce,Cucumber,Both are used in salads and have high water content
Cheshire,Roquefort,Munster,Cheshire,Munster and Roquefort are French cheeses
Toga,Peplos,Chiton,Toga,Chiton and Peplos are Greek garments
Ford Model N,Ford Model Y,Ford Model R,Ford Model Y,Model N and Model R were both predecessors to the Model T
Codex Leicester,Saint John the Baptist,Salvator Mundi,Codex Leicester,The first two are portraits of religious figures
Yangtze River,Rhine River,Danube River,Yangtze River,Danube and Rhine both flow into the Black Sea.
Homo Heidelbergensis,Homo Denisova,Homo Erectus,Homo Denisova,Homo Erectus and Homo Heidelbergensis have more similar tool use
Harappa,Agartha,Mohenjo-daro,Agartha,Mohenjo-daro and Harappa are both cities from the Indus Valley Civilization.
Samarkand,Camelot,Merv,Camelot,Merv and Samarkand were both key cities on the Silk Road.
Carrot,Corn,Peas,Carrot,Both are sweet when cooked
Bumblebee,Tick,Mosquito,Bumblebee,Mosquito and Tick are blood feeders
Bucephalus,Ptolemy,Hephaestion,Bucephalus,"Hephaestion and Ptolemy were close friends of Alexander the Great, Bucephalus was his horse"
Aeronautics,Deafness Research,Photophone,Aeronautics,Deafness Research and Photophone are both areas where Alexander Graham Bell made significant contributions
Cricket,Grasshopper,Butterfly,Butterfly,Grasshopper and Cricket can jump
Clownfish,Mackerel,Tuna,Clownfish,Tuna and Mackerel are high in omega-3.
Marlin,Swordfish,Yellow Perch,Yellow Perch,Swordfish and Marlin are billfish.
Guadalquivir River,Thames River,Ebro River,Thames River,Ebro and Guadalquivir both flow through Spain.
Barcelona,Madrid,Seville,Seville,Madrid and Barcelona have both hosted the Summer Olympics
Paella,Tapas,Flamenco,Flamenco,Paella and Tapas are both types of Spanish cuisine
FC Barcelona,Real Madrid,Sevilla FC,Sevilla FC,Real Madrid and FC Barcelona have both won the UEFA Champions League
Catalan,Spanish,Basque,Spanish,Catalan and Basque both have autonomous communities in Spain where they are co-official languages
Running of the Bulls,Semana Santa,La Tomatina,La Tomatina,Running of the Bulls and Semana Santa are both religious events
Alhambra,Sagrada Familia,El Prado Museum,El Prado Museum,Sagrada Familia and Alhambra are both UNESCO World Heritage Sites
Costa Brava,Pyrenees,Costa del Sol,Pyrenees,Costa del Sol and Costa Brava are both coastal regions in Spain
Bullfighting,Flamenco,Sardana,Sardana,Flamenco and Bullfighting are both traditional cultural practices throughout Spain
Queen Letizia,King Felipe VI,Prime Minister Pedro Sánchez,Prime Minister Pedro Sánchez,King Felipe VI and Queen Letizia are both members of the royal family
Ibiza,Granada,Mallorca,Granada,Ibiza and Mallorca are both islands in the Balearic Islands archipelago
Tulip,Clog,Windmill,Windmill,Tulip and Clog are typical Dutch souvenirs
German Language,Dutch Language,French Language,Dutch Language,German and French are languages spoken in neighboring countries of the Netherlands
Gouda,Edam,Brie,Brie,Gouda and Edam are types of Dutch cheese
Queen Máxima,King Willem-Alexander,Queen Elizabeth II,Queen Elizabeth II,King Willem-Alexander and Queen Máxima are the current reigning monarchs of the Netherlands
Van Gogh Museum,Louvre,Rijksmuseum,Louvre,Van Gogh Museum and Rijksmuseum are major museums in the Netherlands
Herring,Croissant,Stroopwafel,Croissant,Herring and Stroopwafel are traditional Dutch foods
Pound,Guilder,Euro,Pound,Euro and Guilder are/were currencies in the Netherlands
Oranje,Dutch Lions,Les Bleus,Les Bleus,Dutch Lions and Oranje are nicknames for the Netherlands national football team
Delft Blue,Limoges porcelain,Makkum pottery,Limoges porcelain,Delft Blue and Makkum pottery are traditional Dutch ceramics
Belgian Waffle,Belgian Chocolate,French Baguette,French Baguette,Belgian Waffle and Belgian Chocolate are traditional Belgian foods
The Smurfs,Tintin,Asterix,Asterix,Tintin and The Smurfs are comic series created by Belgian authors
Belgian Beer,Belgian Fries,Italian Pasta,Italian Pasta,Belgian Beer and Belgian Fries are famous Belgian dishes
Waterloo,Ypres,Verdun,Verdun,Waterloo and Ypres are battlefields in Belgium
French Language,English Language,Dutch Language,English Language,French and Dutch are official languages in Belgium
Eiffel Tower,Manneken Pis,Atomium,Eiffel Tower,Atomium and Manneken Pis are famous landmarks in Belgium
King Philippe,President Macron,Queen Mathilde,President Macron,King Philippe and Queen Mathilde are Belgian monarchs
Van Dyck,Rubens,Monet,Monet,Rubens and Van Dyck are famous Belgian painters
US Dollar,Euro,Belgian Franc,US Dollar,Belgian Franc and Euro were/are official currencies in Belgium
Schönbrunn Palace,Belvedere Palace,Buckingham Palace,Buckingham Palace,"The first two are palaces located in Vienna, Austria"
Tyrolean Alps,Swiss Alps,Austrian Alps,Swiss Alps,Austrian Alps and Tyrolean Alps are in Austria
Sacher Torte,Wiener Schnitzel,Baguette,Baguette,Wiener Schnitzel and Sacher Torte are Austrian dishes
Rhine River,Danube River,Inn River,Rhine River,Danube and Inn rivers flow through Austria
English Language,Viennese German,Austrian German,English Language,Austrian German and Viennese German are languages spoken in Austria
Mozart,Beethoven,Schubert,Beethoven,Mozart and Schubert were born in Austria
Pound,Swiss Franc,Euro,Pound,Euro and Swiss Franc are used in Austria
British Airways,Austrian Airlines,Lufthansa,British Airways,Austrian Airlines and Lufthansa are part of Star Alliance
Austrian Grand Prix,Monaco Grand Prix,Styrian Grand Prix,Monaco Grand Prix,Austrian and Styrian Grand Prix are held in Austria
Swedish krona,Euro,Norwegian krone,Euro,Scandinavian Currency
Glacier,Fjord,Volcano,Volcano,Natural features in Norway
Chicken,Cod,Salmon,Chicken,Common fish in Norway
Norse Mythology,Greek Mythology,Sami Mythology,Greek Mythology,Mythologies originating in Norway
Tromsø,Helsinki,Stavanger,Helsinki,Cities in Norway
Viking Ship Museum,Louvre Museum,Fram Museum,Louvre Museum,Museums in Oslo
Fjord1,Ryanair,Hurtigruten,Ryanair,Norwegian ferry companies
Croissant,Krumkake,Lefse,Croissant,Traditional Norwegian foods
Euro,Danish Krone,Swedish Krona,Euro,Scandinavian Currencies
Little Mermaid Statue,Eiffel Tower,Rosenborg Castle,Eiffel Tower,Landmarks in Denmark
Pizza,Smørrebrød,Danish Pastries,Pizza,Traditional Danish Food
Danish Language,French Language,Swedish Language,French Language,Scandinavian Languages
Lego,Ikea,Carlsberg,Ikea,Danish Companies
Norwegian Flag,Danish Flag (Dannebrog),Swedish Flag,Swedish Flag,Flags with a cross design
King Christian X,Queen Elizabeth II,Queen Margrethe II,Queen Elizabeth II,Danish Monarchs
The Round Tower,Tivoli Gardens,The Colosseum,The Colosseum,Tourist Attractions in Denmark
Danish Medieval History,British Medieval History,Danish Viking History,British Medieval History,Periods in Danish History
Finnish Sauna,Swedish Meatballs,Finnish Ice Hockey,Swedish Meatballs,Finnish Sauna and Ice Hockey are Finnish cultural practices
Moomins,Eiffel Tower,Angry Birds,Eiffel Tower,Moomins and Angry Birds originated in Finland
Gotland,Lapland,Aland Islands,Gotland,Lapland and Aland Islands are regions in Finland
Buckingham Palace,Temppeliaukio Church,Sibelius Monument,Buckingham Palace,Sibelius Monument and Temppeliaukio Church are famous landmarks in Finland
Euro,Swedish Krona,Finnish Markka,Swedish Krona,Euro and Finnish Markka are/were Finnish currencies
Turku,Rovaniemi,Oslo,Oslo,Rovaniemi and Turku are cities in Finland
Apple,Nokia,Marimekko,Apple,Nokia and Marimekko are Finnish companies
Polish Złoty,Euro,US Dollar,Euro,Polish Złoty and US Dollar are not part of Eurozone
Pope John Paul II,Angela Merkel,Lech Walesa,Angela Merkel,Lech Walesa and Pope John Paul II are Polish figures
Tatra Mountains,Amazon Rainforest,Bialowieza Forest,Amazon Rainforest,Bialowieza Forest and Tatra Mountains are in Poland
Pierogi,Kielbasa,Pizza,Pizza,Pierogi and Kielbasa are traditional Polish foods
Baltic Sea,Danube River,Vistula River,Danube River,Baltic Sea and Vistula River are bodies of water in Poland
Battle of Grunwald,Battle of Waterloo,Warsaw Uprising,Battle of Waterloo,Warsaw Uprising and Battle of Grunwald occurred in Poland
Marie Curie,Albert Einstein,Nicolaus Copernicus,Albert Einstein,Marie Curie and Nicolaus Copernicus were born in Poland
Flamenco,Polish Folk Music,Mazurka,Flamenco,Polish Folk Music and Mazurka are genres of music in Poland
Buckingham Palace,Wawel Castle,Royal Castle in Warsaw,Buckingham Palace,Wawel Castle and Royal Castle in Warsaw are in Poland
French language,Ukrainian language,Russian language,French language,Ukrainian and Russian languages both use the Cyrillic alphabet
Dnipro River,Carpathian Mountains,Danube River,Carpathian Mountains,Dnipro River and Danube River are bodies of water
Varenyky,Croissant,Borscht,Croissant,Borscht and Varenyky are traditional Ukrainian dishes
Ruble,Hryvnia,Euro,Euro,Hryvnia and Ruble are currencies of countries that were part of the former Soviet Union
Lviv Oblast,Sicily,Crimean Peninsula,Sicily,Crimean Peninsula and Lviv Oblast are regions in Ukraine
Krakow,Chernobyl,Pripyat,Krakow,Chernobyl and Pripyat are cities in Ukraine affected by the Chernobyl nuclear disaster
Taras Shevchenko,William Shakespeare,Ivan Franko,William Shakespeare,Taras Shevchenko and Ivan Franko are prominent Ukrainian writers
World War II,Holodomor,French Revolution,French Revolution,Holodomor and World War II are historical events that had a significant impact on Ukraine
Koala,Kangaroo,Emu,Emu,Kangaroo and Koala are marsupials
Great Barrier Reef,Bondi Beach,Daintree Rainforest,Bondi Beach,First two are World Heritage sites
Pavlova,Vegemite,Tim Tam,Vegemite,Tim Tam and Pavlova are sweet foods
Gold Coast,Sunshine Coast,Blue Mountains,Blue Mountains,The other two are coastal areas
Rugby League,Australian Rules Football,Cricket,Cricket,The other are types of football
Dingo,Tasmanian Devil,Wombat,Dingo,Tasmanian Devil and Wombat are marsupials
Pine,Eucalyptus,Acacia,Pine,Eucalyptus and Acacia are native to Australia
Story Bridge,Sydney Harbour Bridge,London Bridge,London Bridge,The other are in Australia
Adelaide,Auckland,Canberra,Auckland,The other are cities in Australia
Kiwi bird,Kangaroo,Silver fern,Kangaroo,Kiwi bird and Silver fern are national symbols of New Zealand
English Language,Maori Language,French Language,French Language,Maori and English are official languages in New Zealand
Lakers,All Blacks,Black Caps,Lakers,All Blacks and Black Caps are New Zealand sports teams
Kauri Tree,Pohutukawa Tree,Oak Tree,Oak Tree,Pohutukawa and Kauri are native trees in New Zealand
Southern Alps,Mount Everest,Mount Cook,Mount Everest,Southern Alps and Mount Cook are geographical features in New Zealand
Waitomo Caves,Milford Sound,Grand Canyon,Grand Canyon,Waitomo Caves and Milford Sound are tourist attractions in New Zealand
Marlborough Wine,Hawke's Bay Wine,Bordeaux Wine,Bordeaux Wine,Hawke's Bay Wine and Marlborough Wine are wines from New Zealand
Poi Dance,Haka,Tango,Tango,Haka and Poi Dance are traditional Maori dances in New Zealand
Peter Jackson,Steven Spielberg,Weta Workshop,Steven Spielberg,Weta Workshop and Peter Jackson are associated with New Zealand film industry
Baguette,Croissant,Pretzel,Pretzel,The other are French breads
Loire Valley,Lake District,French Riviera,Lake District,The other are French tourist destinations
Paris Fashion Week,Cannes Festival,New York Fashion Week,New York Fashion Week,The other are French cultural events
French Alps,Rocky Mountains,Pyrenees,Rocky Mountains,The other are mountain ranges in France
Euro,Dollar,French Franc,Dollar,The other were/are currencies in France
London,Lyon,Toulouse,London,The other are cities in France
Super Bowl,Tour de France,French Open,Super Bowl,Both are sports events held in France
Beaver,Bald Eagle,Maple leaf,Bald Eagle,Maple leaf and Beaver are national symbols of Canada
Nanaimo bar,Tiramisu,Poutine,Tiramisu,Poutine and Nanaimo bar are Canadian dishes
Hudson Bay,Rocky Mountains,Alps,Alps,Hudson Bay and Rocky Mountains are geographical features in Canada
Canadian Football,Baseball,Ice Hockey,Baseball,Canadian Football and Ice Hockey are popular sports in Canada
Swiss Chalet,Tim Hortons,Starbucks,Starbucks,Tim Hortons and Swiss Chalet are Canadian restaurant chains
Mount Fuji,Mount Logan,Mount Saint Elias,Mount Fuji,Mount Logan and Mount Saint Elias are mountains in Canada
Quebec City,New York City,Ottawa,New York City,Ottawa and Quebec City are capital cities in Canada
Canadian Dollar,Loonie,Euro,Euro,Canadian Dollar and Loonie are Canadian currencies
Justin Trudeau,Barack Obama,Stephen Harper,Barack Obama,Justin Trudeau and Stephen Harper are Canadian Prime Ministers
Puebla,Guadalajara,Enchilada,Enchilada,Puebla and Guadalajara are cities in Mexico
Cancun,Burritos,Tacos,Cancun,Tacos and Burritos are Mexican foods
Mezcal,Tequila,Chichen Itza,Chichen Itza,Tequila and Mezcal are Mexican drinks
Aztec Calendar,Cinco de Mayo,Day of the Dead,Aztec Calendar,Day of the Dead and Cinco de Mayo are Mexican holidays
Mexican Peso,Mexican Flag,Mexican Independence Day,Mexican Flag,Mexican Peso and Mexican Independence Day are related to the country's sovereignty
Lucha Libre,Guacamole,Soccer,Guacamole,Lucha Libre and Soccer are popular sports in Mexico
Frida Kahlo,Diego Rivera,Mexican Wolf,Mexican Wolf,Frida Kahlo and Diego Rivera are famous Mexican artists
Agave,Mariachi,Cactus,Mariachi,Cactus and Agave are plants commonly found in Mexico
Tortilla,Sierra Madre,Salsa,Sierra Madre,Tortilla and Salsa are components of Mexican cuisine
Amazon River,Pantanal Wetlands,Nile River,Nile River,Amazon River and Pantanal Wetlands are both water bodies in Brazil.
Portuguese Language,Spanish Language,Tupi Language,Spanish Language,Portuguese and Tupi are languages spoken in Brazil.
Tango,Samba,Forró,Tango,Samba and Forró are dance styles originated in Brazil.
Carnival,Festa Junina,Oktoberfest,Oktoberfest,Carnival and Festa Junina are traditional festivals in Brazil.
Mount Everest,Sugarloaf Mountain,Christ the Redeemer,Mount Everest,Christ the Redeemer and Sugarloaf Mountain are iconic landmarks in Rio de Janeiro.
Soybeans,Sugar,Coffee,Soybeans,Coffee and Sugar are two of the biggest agricultural exports in Brazil.
Peso (currency),Dollar (currency),Real (currency),Dollar (currency),"Real and Peso are currencies used in Latin America, Dollar is not."
Feijoada,Pizza,Açaí,Pizza,Açaí and Feijoada are traditional Brazilian dishes.
Jiu-Jitsu,Capoeira,Karate,Karate,Capoeira and Jiu-Jitsu are martial arts that originated in Brazil.
Pele,Lionel Messi,Diego Maradona,Pele,The other are Argentine footballers
Samba,Folklore,Tango,Samba,The other are Argentine dances
Torrontes,Chardonnay,Malbec,Chardonnay,The other are Argentine wines
Andes Mountains,Aconcagua,Mount Everest,Mount Everest,The other are Argentine mountains
Amazon Rainforest,Patagonia,Pampas,Amazon Rainforest,The other are Regions in Argentina
Argentine Austral,US Dollar,Argentine Peso,US Dollar,The other are Argentine currencies
Dulce de leche,Mate,Tequila,Tequila,The other are Argentine food/drinks
Evita Peron,Angela Merkel,Cristina Kirchner,Angela Merkel,The other are Argentine female political figures
Santiago,Easter Island,Valparaiso,Easter Island,Santiago and Valparaiso are both mainland cities.
Copper,Wine,Pisco,Copper,Pisco and Wine are both alcoholic beverages.
Andean Condor,Mapuche People,Rapa Nui People,Andean Condor,Mapuche and Rapa Nui are both indigenous peoples.
Patagonian Desert,Atacama Desert,Andes Mountains,Patagonian Desert,Atacama and Andes are both geographical features.
Chilean Palm,Araucaria Tree,Chilean Peso,Chilean Peso,Araucaria and Chilean Palm are both native trees.
Andean Condor,Chilean Huemul,Santiago,Santiago,Chilean Huemul and Andean Condor are both native animals
Valdivian Rainforest,Patagonian Steppe,Atacama Desert,Atacama Desert,Valdivian Rainforest and Patagonian Steppe are both biomes.
Empanada,Copper,Cazuela,Copper,Empanada and Cazuela are both traditional dishes.
Easter Island,Gabriela Mistral,Pablo Neruda,Easter Island,Pablo Neruda and Gabriela Mistral are both poets.
Juanes,Shakira,Gabriel Garcia Marquez,Gabriel Garcia Marquez,Shakira and Juanes are both singers
Colombian Coffee,Colombian Emeralds,Colombian Roses,Colombian Emeralds,Colombian Coffee and Roses are both agricultural products
Cumbia,Salsa,Reggaeton,Reggaeton,Cumbia and Salsa are both traditional Colombian dances
Arepa,Empanada,Bandeja Paisa,Empanada,Arepa and Bandeja Paisa are traditional dishes from Antioquia region
Caribbean Sea,Amazon Rainforest,Andes Mountains,Caribbean Sea,Amazon Rainforest and Andes Mountains are both landforms
Cocora Valley,Tayrona National Park,Rosario Islands,Rosario Islands,Cocora Valley and Tayrona National Park are both national parks
Pablo Escobar,Simon Bolivar,Francisco de Paula Santander,Pablo Escobar,Simon Bolivar and Francisco de Paula Santander were both presidents
Colombian Passport,Colombian Flag,Colombian Peso,Colombian Peso,Colombian Passport and Flag are both national symbols
Barranquilla Carnival,Medellin Flower Festival,Bogota Book Fair,Bogota Book Fair,Barranquilla Carnival and Medellin Flower Festival are both cultural festivals
Alpaca,Llama,Guinea Pig,Guinea Pig,Alpaca and Llama are camelids
Inca Kola,Chilcano,Pisco Sour,Inca Kola,Pisco Sour and Chilcano are Pisco-based drinks
Nazca Lines,Huaca Pucllana,Lake Titicaca,Lake Titicaca,Nazca Lines and Huaca Pucllana are ruins
Kiwicha,Corn,Quinoa,Corn,Quinoa and Kiwicha are ancient grains
Spanish Language,Quechua Language,Aymara Language,Spanish,Quechua and Aymara are indigenous languages
Pacific Ocean,Amazon Rainforest,Andes Mountains,Pacific Ocean,Amazon Rainforest and Andes are land formations
Pollo a la Brasa,Lomo Saltado,Ceviche,Pollo a la Brasa,Ceviche and Lomo Saltado are served with rice
Wari Empire,Spanish Conquest,Inca Empire,Spanish Conquest,Inca and Wari are pre-Columbian civilizations
Guanaco,Condor,Vicuña,Condor,Vicuña and Guanaco are camelids
Arepa,Hallaca,Pabellón criollo,Pabellón criollo,Arepa and Hallaca are both made of corn
Caracas,Maracaibo,Bogotá,Bogotá,Caracas and Maracaibo are both cities in Venezuela
Peso,Bolívar,Sucre,Peso,Bolívar and Sucre are both Venezuelan currency units
Orinoco River,Guaire River,Amazon River,Amazon River,Orinoco River and Guaire River are both in Venezuela
Simon Bolivar,Hugo Chavez,Ernesto Guevara,Ernesto Guevara,Simon Bolivar and Hugo Chavez are both Venezuelan leaders
Venezuelan Troupial,Scarlet Macaw,Yellow-crowned Amazon,Scarlet Macaw,Venezuelan Troupial and Yellow-crowned Amazon are both national birds of Venezuela
Reggaeton,Venezuelan Salsa,Merengue,Reggaeton,Venezuelan Salsa and Merengue are both Venezuelan dance styles
Colombian Coffee,Venezuelan Oil,Gold,Colombian Coffee,Venezuelan Oil and Gold are both Venezuelan exports
Galapagos Islands,Morrocoy,Los Roques,Galapagos Islands,Los Roques and Morrocoy are both Venezuelan national parks
Shuar Language,Spanish Language,Quichua Language,Spanish Language,The other two are ndigenous languages
Quito,Guayaquil,Cuenca,Guayaquil,The other two are UNESCO World Heritage Sites
Bananas,Cocoa,Oil,Oil,The other two are Agricultural products
